timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653439473528,287,HTTP Request,200,OK,Thread Group 1-222,text,true,,11228,115,330,330,http://192.168.100.3/,188,0,0
1653439473816,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.3:80 failed to respond,Thread Group 1-222,text,false,,2069,0,330,330,http://192.168.100.3/,0,0,0
1653439473540,279,HTTP Request,200,OK,Thread Group 1-223,text,true,,11228,115,333,333,http://192.168.100.3/,184,0,0
1653439473711,9,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.3:80 failed to respond,Thread Group 1-234,text,false,,2069,0,346,346,http://192.168.100.3/,0,0,0
1653439473707,126,HTTP Request,200,OK,Thread Group 1-240,text,true,,11228,115,346,346,http://192.168.100.3/,125,0,0
1653439473497,359,HTTP Request,200,OK,Thread Group 1-248,text,true,,11229,115,353,353,http://192.168.100.3/,330,0,37
1653439473530,447,HTTP Request,200,OK,Thread Group 1-218,text,true,,11228,115,394,394,http://192.168.100.3/,346,0,0
1653439473530,447,HTTP Request,200,OK,Thread Group 1-221,text,true,,11228,115,394,394,http://192.168.100.3/,325,0,0
1653439473509,468,HTTP Request,200,OK,Thread Group 1-252,text,true,,11229,115,394,394,http://192.168.100.3/,346,0,29
1653439473514,464,HTTP Request,200,OK,Thread Group 1-251,text,true,,11229,115,394,394,http://192.168.100.3/,341,0,31
1653439473554,437,HTTP Request,200,OK,Thread Group 1-200,text,true,,11228,115,398,398,http://192.168.100.3/,426,0,0
1653439473515,476,HTTP Request,200,OK,Thread Group 1-254,text,true,,11229,115,398,398,http://192.168.100.3/,465,0,31
1653439473565,432,HTTP Request,200,OK,Thread Group 1-249,text,true,,11229,115,399,399,http://192.168.100.3/,426,0,31
1653439473565,432,HTTP Request,200,OK,Thread Group 1-262,text,true,,11229,115,399,399,http://192.168.100.3/,427,0,31
1653439473566,431,HTTP Request,200,OK,Thread Group 1-270,text,true,,11229,115,399,399,http://192.168.100.3/,428,0,31
1653439473997,11,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.3:80 failed to respond,Thread Group 1-249,text,false,,2069,0,400,400,http://192.168.100.3/,0,0,0
1653439473997,11,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.3:80 failed to respond,Thread Group 1-262,text,false,,2069,0,400,400,http://192.168.100.3/,0,0,0
1653439473440,570,HTTP Request,200,OK,Thread Group 1-229,text,true,,11229,115,400,400,http://192.168.100.3/,557,0,64
1653439473566,446,HTTP Request,200,OK,Thread Group 1-260,text,true,,11229,115,400,400,http://192.168.100.3/,429,0,31
1653439473997,14,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.3:80 failed to respond,Thread Group 1-270,text,false,,2069,0,400,400,http://192.168.100.3/,0,0,0
1653439473549,464,HTTP Request,200,OK,Thread Group 1-205,text,true,,11228,115,400,400,http://192.168.100.3/,449,0,0
1653439473494,519,HTTP Request,200,OK,Thread Group 1-247,text,true,,11229,115,400,400,http://192.168.100.3/,504,0,39
1653439473487,526,HTTP Request,200,OK,Thread Group 1-245,text,true,,11229,115,400,400,http://192.168.100.3/,511,0,46
1653439473573,443,HTTP Request,200,OK,Thread Group 1-272,text,true,,11229,115,400,400,http://192.168.100.3/,425,0,26
1653439473590,436,HTTP Request,200,OK,Thread Group 1-224,text,true,,11228,115,410,410,http://192.168.100.3/,426,0,0
1653439473447,579,HTTP Request,200,OK,Thread Group 1-230,text,true,,11229,115,409,409,http://192.168.100.3/,570,0,59
1653439473561,467,HTTP Request,200,OK,Thread Group 1-268,text,true,,11229,115,410,410,http://192.168.100.3/,463,0,33
1653439473559,470,HTTP Request,200,OK,Thread Group 1-266,text,true,,11229,115,410,410,http://192.168.100.3/,466,0,34
1653439473562,485,HTTP Request,200,OK,Thread Group 1-265,text,true,,11229,115,415,415,http://192.168.100.3/,467,0,33
1653439473651,427,HTTP Request,200,OK,Thread Group 1-228,text,true,,11228,115,427,427,http://192.168.100.3/,390,0,0
1653439473563,515,HTTP Request,200,OK,Thread Group 1-256,text,true,,11229,115,427,427,http://192.168.100.3/,478,0,32
1653439473540,542,HTTP Request,200,OK,Thread Group 1-197,text,true,,11228,115,427,427,http://192.168.100.3/,515,0,0
1653439473541,545,HTTP Request,200,OK,Thread Group 1-194,text,true,,11228,115,427,427,http://192.168.100.3/,519,0,0
1653439473545,547,HTTP Request,200,OK,Thread Group 1-109,text,true,,11228,115,429,429,http://192.168.100.3/,523,0,0
1653439473545,559,HTTP Request,200,OK,Thread Group 1-117,text,true,,11228,115,431,431,http://192.168.100.3/,532,0,0
1653439473591,515,HTTP Request,200,OK,Thread Group 1-275,text,true,,11229,115,430,430,http://192.168.100.3/,515,0,25
1653439473594,514,HTTP Request,200,OK,Thread Group 1-278,text,true,,11229,115,431,431,http://192.168.100.3/,513,0,22
1653439473559,554,HTTP Request,200,OK,Thread Group 1-267,text,true,,11229,115,433,433,http://192.168.100.3/,518,0,36
1653439473475,650,HTTP Request,200,OK,Thread Group 1-241,text,true,,11229,115,436,436,http://192.168.100.3/,630,0,38
1653439473471,655,HTTP Request,200,OK,Thread Group 1-239,text,true,,11229,115,436,436,http://192.168.100.3/,634,0,38
1653439473564,563,HTTP Request,200,OK,Thread Group 1-263,text,true,,11229,115,437,437,http://192.168.100.3/,530,0,32
1653439473820,307,HTTP Request,200,OK,Thread Group 1-223,text,true,,11228,115,437,437,http://192.168.100.3/,275,0,0
1653439473470,657,HTTP Request,200,OK,Thread Group 1-238,text,true,,11229,115,437,437,http://192.168.100.3/,624,0,39
1653439474126,4,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.3:80 failed to respond,Thread Group 1-241,text,false,,2069,0,437,437,http://192.168.100.3/,0,0,0
1653439474126,3,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.3:80 failed to respond,Thread Group 1-239,text,false,,2069,0,437,437,http://192.168.100.3/,0,0,0
1653439474128,2,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.3:80 failed to respond,Thread Group 1-238,text,false,,2069,0,437,437,http://192.168.100.3/,0,0,0
1653439474128,3,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.3:80 failed to respond,Thread Group 1-263,text,false,,2069,0,437,437,http://192.168.100.3/,0,0,0
1653439473545,590,HTTP Request,200,OK,Thread Group 1-145,text,true,,11228,115,439,439,http://192.168.100.3/,551,0,0
1653439473520,618,HTTP Request,200,OK,Thread Group 1-255,text,true,,11229,115,439,439,http://192.168.100.3/,585,0,26
1653439473587,551,HTTP Request,200,OK,Thread Group 1-86,text,true,,11228,115,439,439,http://192.168.100.3/,515,0,0
1653439473617,522,HTTP Request,200,OK,Thread Group 1-219,text,true,,11228,115,439,439,http://192.168.100.3/,484,0,0
1653439473541,599,HTTP Request,200,OK,Thread Group 1-34,text,true,,11228,115,437,437,http://192.168.100.3/,559,0,0
1653439473552,589,HTTP Request,200,OK,Thread Group 1-165,text,true,,11228,115,437,437,http://192.168.100.3/,548,0,0
1653439473526,625,HTTP Request,200,OK,Thread Group 1-258,text,true,,11229,115,439,439,http://192.168.100.3/,580,0,22
1653439473511,640,HTTP Request,200,OK,Thread Group 1-253,text,true,,11229,115,439,439,http://192.168.100.3/,595,0,34
1653439474113,42,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.3:80 failed to respond,Thread Group 1-267,text,false,,2069,0,443,443,http://192.168.100.3/,0,0,0
1653439473600,556,HTTP Request,200,OK,Thread Group 1-282,text,true,,11229,115,443,443,http://192.168.100.3/,526,0,19
1653439473620,538,HTTP Request,200,OK,Thread Group 1-213,text,true,,11228,115,444,444,http://192.168.100.3/,495,0,0
1653439473631,527,HTTP Request,200,OK,Thread Group 1-191,text,true,,11228,115,444,444,http://192.168.100.3/,487,0,0
1653439473660,499,HTTP Request,200,OK,Thread Group 1-242,text,true,,11228,115,442,442,http://192.168.100.3/,459,0,0
